Project,ReflectiveTarget,Type
appstatus-spring-boot-starter,org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.context.SpringBootTestContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.context.ImportsContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener$PostProcessor,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizerFactory,Type 3
appstatus-spring-boot-starter,org.springframework.boot.logging.LoggingApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.logging.logback.ExtendedWhitespaceThrowableProxyConverter,Type 3
appstatus-spring-boot-starter,org.springframework.boot.logging.logback.ColorConverter,Type 3
appstatus-spring-boot-starter,org.springframework.boot.logging.ClasspathLoggingApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.liquibase.LiquibaseServiceLocatorApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.env.YamlPropertySourceLoader,Type 3
appstatus-spring-boot-starter,org.springframework.boot.env.SpringApplicationJsonEnvironmentPostProcessor,Type 3
appstatus-spring-boot-starter,org.springframework.boot.env.PropertiesPropertySourceLoader,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.ValidationExceptionFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.PortInUseFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.NoUniqueBeanDefinitionFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.ConnectorStartFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.BindFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.BeanNotOfRequiredTypeFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.diagnostics.analyzer.BeanCurrentlyInCreationFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.FileEncodingApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.event.EventPublishingRunListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.embedded.ServerPortInfoApplicationContextInitializer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.ContextIdApplicationContextInitializer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.ConfigurationWarningsApplicationContextInitializer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.config.DelegatingApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.config.DelegatingApplicationContextInitializer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.config.ConfigFileApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.context.config.AnsiOutputApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.cloud.CloudFoundryVcapEnvironmentPostProcessor,Type 3
appstatus-spring-boot-starter,org.springframework.boot.ClearCachesApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.builder.ParentContextCloserApplicationListener,Type 3
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.SharedMetadataReaderFactoryContextInitializer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.jdbc.HikariDriverConfigurationFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.jdbc.DataSourceBeanCreationFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.diagnostics.analyzer.NoSuchBeanDefinitionFailureAnalyzer,Type 3
appstatus-spring-boot-starter,org.springframework.boot.autoconfigure.BackgroundPreinitializer,Type 3
appstatus-spring-boot-starter,org.springframework.beans.ExtendedBeanInfoFactory,Type 3
appstatus-spring-boot-starter,org.mockito.internal.configuration.plugins.DefaultPluginSwitch,Type 3
appstatus-spring-boot-starter,org.hibernate.validator.HibernateValidator,Type 3
appstatus-spring-boot-starter,ch.qos.logback.classic.pattern.ThreadConverter,Type 3
appstatus-spring-boot-starter,ch.qos.logback.classic.pattern.MessageConverter,Type 3
appstatus-spring-boot-starter,ch.qos.logback.classic.pattern.LoggerConverter,Type 3
appstatus-spring-boot-starter,ch.qos.logback.classic.pattern.LineSeparatorConverter,Type 3
appstatus-spring-boot-starter,ch.qos.logback.classic.pattern.LevelConverter,Type 3
appstatus-spring-boot-starter,ch.qos.logback.classic.pattern.DateConverter,Type 3
appstatus-spring-boot-starter,org.springframework.format.Parser,Type 4
appstatus-spring-boot-starter,org.springframework.format.Formatter,Type 4
appstatus-spring-boot-starter,org.springframework.format.annotation.NumberFormat,Type 4
appstatus-spring-boot-starter,org.springframework.format.annotation.DateTimeFormat,Type 4
appstatus-spring-boot-starter,org.springframework.core.annotation.SynthesizedAnnotation,Type 4
appstatus-spring-boot-starter,org.springframework.core.annotation.Order,Type 4
appstatus-spring-boot-starter,org.springframework.core.annotation.AliasFor,Type 4
appstatus-spring-boot-starter,org.springframework.context.annotation.Import,Type 4
appstatus-spring-boot-starter,org.springframework.context.annotation.Configuration,Type 4
